macro,x,y,z,name,description,source
cluster_12_macro,-60000000.0,0.0,-51960000.0,True Sight,"After striking an alliance of convenience with the Godrealm of the Paranid, the Argon Federation promptly sent out an invasion force into Holy Order territory. To the dismay of their strategists, the scattering of supposedly unprepared enemy patrols put up an unexpectedly strong resistance, dragging out the encounter and foiling the attackers' plans of swift conquest. Surviving Paranid pilots claim that at the peak of the skirmish, the True Pontifex himself appeared before them, directing individual ships towards enemy blind-spots with unprecedented precision; a phenomenon which continues to be reverently described as a gift of ""True Sight"". Regardless of the actual sequence of events, the invaders were forced to withdraw, and the system was ordered to be thoroughly fortified as both first line of defence and last bastion against the Argon threat. According to Holy Order officials, the True Pontifex went into seclusion after this event, becoming the imperious, yet elusive, figure the galactic community knows today.",
cluster_13_macro,-75000000.0,0.0,-8660000.0,Second Contact,"Within hours of the Jump Gates in Second Contact opening, fleets from both the Antigone Republic and the Holy Order of the Pontifex had arrived in system. Ownership of the system remained disputed for many years, with skirmishes from both factions commonplace.\n\nWith the start of the Paranid Civil War though, the Paranid could no longer afford to keep up their offensive and the Antigone Republic claimed the system as its own colony. Since, it has become a profitable trading hub, linking the Antigone Republic to the Argon Federation, and acts as a buffer to the Holy Order.",
cluster_14_macro,-90000000.0,0.0,34640000.0,Argon Prime,"Colonised by the survivors of the First Terraformer War, the Sonra system is seen by many as the birthplace of modern Argon civilization and culture. Renamed from Sonra to R. Gunne to commemorate the hero of the First Terraformer War, then to Argon Prime, the system has served as the capital of the Federation for all of its five hundred and eighty-four years. As such, the fourth planet, also called Argon Prime, is steeped in history, and even despite the Jump Gate shutdown, the system once again thrives on a strong trading and tourist economy.",
cluster_15_macro,90000000.0,0.0,69280000.0,Ianamus Zura,"The once long-lost home system of the Teladi, Ianamus Zura once again faces a key moment in its history, acting after the Jump Gate shutdown as the buffer between Teladi space and the Xenon.\n\nThough there is less activity from Matrix #451 than other Xenon-occupied territories in the Jump Gate network, memories of the conflict in Scale Plate Green and PTNI Headquarters are still fresh in many Teladi minds, and they are determined to defend their home from the wrath of the machines. As such, it is heavily defended by both defence stations and a contingent of the Teladi fleet.",
cluster_16_macro,90000000.0,0.0,86600000.0,Matrix #451,"After the Teladi Company had reconnected with Ianamus Zura, they sent out a fleet of scouts to seek potential new trade partners and re-establish old business relationships. It took the fleet some time before they encountered the Xenon that were operating deep within this system, far from the Gate. The scouts soon came to the realisation that they were surrounded by hostile forces, and at that point they were far from any reinforcements. Their natural flight instinct came to the fore and they hastily retreated towards the Gate that lead back to their homeworld. Many ships were picked off by intercepting Xenon along the way, but a few ships made it back. Unfortunately, their failed exploration drew the Xenon closer to the Jump Gate, and Xenon attacks have now become a common occurrence.",
cluster_17_macro,75000000.0,0.0,95260000.0,Matrix #9,"Not much has been recorded about this system. Rarely do ships venture this far into Xenon space, and it is even more rare that they return to share their findings. For this reason, little is known about the planet contained within it. While it appears to be a planet barren of vegetation, some suspect it to be rich in ore, hidden beneath the surface layers. Despite these speculations, no one dares go near it, since trying to settle it would surely result in being targeted by the Xenon.",
cluster_18_macro,75000000.0,0.0,25980000.0,Trinity Sanctum,"Made famous before the Jump Gate shutdown by its nomadic workforce, whose expertise in raising delicate Maja snails was known across the entire network, Trinity Sanctum has been repurposed as the temporary capital of the Godrealm of the Paranid. The Snail Farms that were once so active here have long been shut down.\n\nDesperate to keep some sense of order among its people, the Pontifex Maximus Paranidia placed a heavily defended house of worship on one of the many moons of Trinity Sanctum, and so the system has also become a place of pilgrimage for many members of the Godrealm.",
cluster_19_macro,105000000.0,0.0,-8660000.0,Hewa's Twin,"Hewa's Twin may be the most widely, if not most thoroughly, explored system in Teladi territory, but has been somewhat crippled economically by its Jump Gate connection to Trinity Sanctum, separating it and Company Regard from the rest of Teladi space.\n\nThe Paranids' differing views on what is legal and illegal sometimes makes it difficult for the Teladi Company to ferry supplies to citizens on both sides of the blockade. This however represents an interesting opportunity for smugglers, which the Scale Plate Pact pirates, who hide their headquarters somewhere in this system, have all too happily jumped on.",
cluster_20_macro,135000000.0,0.0,-25980000.0,Company Regard,"A new star system only discovered after the Jump Gate realignment, Company Regard represents an opportunity for the Teladi Company to build an entirely new colony from scratch, as well as giving them the only access to the overrun colony of Scale Plate Green.\n\nThough a small number of military staff and crew have moved into the system to help control Xenon incursions from Scale Plate Green, proper colonisation work in Company Regard has been slow, as no habitable planets and no mineral or gas regions have yet been discovered.",
cluster_21_macro,135000000.0,0.0,-43300000.0,Scale Plate Green,"Once a pride of Teladi Company space, Scale Plate Green was overrun by the Xenon early in the period of the Jump Gate shutdown. Despite fearless defending from the Company and its allies, the Xenon fleet proved too strong, annihilating those that did not flee.\n\nSince it was reconnected to the network, Teladi scouts have recorded that Scale Plate Green continues to be heavily defended by the Xenon, acting as a staging area for incursions into both Teladi and Paranid space.",
cluster_22_macro,30000000.0,0.0,-51960000.0,Pious Mists,"While Paranid society has historically met others with distrust, generally preferring to keep to themselves, the ramifications of the Gate shutdown have forced them into closer contact with the other races, and facilitated unrest amongst the different Paranid denominations. As part of the highway network, this system is at the forefront of both of these developments. Due to its proximity to Holy Order space, it is often considered to be the major staging ground of the Paranid conflict.\n\nWhile Pious Mists  was disconnected from the other Paranid systems, an ambitious Duke tried to crown himself Pontifex in a bid for regional power. However, his subjects quickly and violently overthrew him and held out hope for a swift reconnection. When that connection was once again established, they were welcomed back into the greater Godrealm of the Paranid with open arms.",
cluster_23_macro,60000000.0,0.0,-86600000.0,Sacred Relic,"Long the heart of the Paranid scientific community, with its mysterious planet and one lone relic of a distant past, Sacred Relic quickly became the home of the Alliance of the Word during the Jump Gate shutdown, and has since remained a place of discovery and exploration for all across the Jump Gate network.\n\nIt was from here that the first AoW drones were launched to Argon Prime and Kingdom End, and also the location of the Alliance's single shipyard, where they aim to launch generation ships to send aid to systems still thought disconnected from any Jump Gates.",
cluster_24_macro,-45000000.0,0.0,-60620000.0,Holy Vision,"Holy Vision  has become the heart of the Holy Order of the Pontifex. It supplies the Holy Order with the means to defend itself against the Xenon threat, and a significant amount of resources to promote their Paranid faith. The system derives its name from the vision of a united Paranid announced by the Pontifex Maximus Haereticus . It was in this system that the Pontifex broadcast his presence and intentions to the wider Paranid society, decreed that all Paranid are welcome to convert and join the Holy Order of the Pontifex, and declared the crusade against the Godrealm of the Paranid.",
cluster_25_macro,-90000000.0,0.0,-69280000.0,Faulty Logic,"Having had less direct contact with the Xenon than other races, and with their superior understanding of mathematics, the Paranid have always tolerated artificial intelligence more than other races. However, after the loss of Emperor Mines - now called Faulty Logic - they also know the risks that come with it, having seen one of their most secure systems overrun through a Xenon logic bomb. While every Paranid ship lay paralysed in space, the Xenon wiped them out. Many Paranid have since begun to wonder whether their tolerance for the machines has made them susceptible to further assault.",
cluster_26_macro,-120000000.0,0.0,-51960000.0,Atiya's Misfortune,"In the Terrans' attempts to expand beyond their borders in the latter days of the Terran Conflict, systems such as Toride and Atiya's Misfortune became beacons of hope for a race that was lost and broken. However, scared and on the run, the Terrans did not properly scout their colony locations. While Toride's fate is still unknown, Atiya's Misfortune was quickly discovered to contain a heavy Xenon presence, forcing the Terrans to flee once more.\n\nArgon and Paranid scouts have since been able to map out most of the system, in the hope that one day the Xenon can be cleared out.",
cluster_27_macro,-150000000.0,0.0,34640000.0,The Void,"This was the first system claimed by the newly founded Antigone Republic after the Gates realigned. The inhabitants live close to a nebula which damages the hulls of ships that enter it, making this system a hostile and dangerous environment. In order to turn a profit, the people residing here are dependent on support from outside their own system. Since it is the bridge between Antigone Memorial and other trade-oriented communities, the Antigone Republic is going above and beyond in ensuring that it is a safe and stable place despite these difficulties.",
cluster_28_macro,-165000000.0,0.0,25980000.0,Antigone Memorial,"Once an Argon Federation border system that survived one of the worst Xenon incursions in Argon history, Antigone Memorial made it through the shutdown through the sheer willpower of its people, who banded together and unified in order to make sure their beloved home did not once again become crippled by such dark times.\n\nIt now serves as the capital of the fledgling Antigone Republic and has seen a long stretch of peace and growth due to its distance from both major Xenon threats and the Holy Order of the Pontifex.",
cluster_29_macro,-60000000.0,0.0,69280000.0,Hatikvah's Choice,"Placed on the highway construction known as The Ring, Hatikvah's Choice is home to both the Hatikvah Free League and many Federation citizens, and is one of the busiest systems in Argon space. Even without a habitable planet - consisting instead of several nebulae, an asteroid field and a colossal gas giant - the system continues to flourish. Its position on the Ring, while increasing the risk of incursions, also facilitates military intervention by the neighbouring Argon Federation, and anchors the system as an economic community that is perhaps more closely intertwined with the network's trade routes than any other.",
cluster_30_macro,-90000000.0,0.0,69280000.0,Morning Star,"One of the dozen Argon outposts destroyed during the First Xenon Conflict, Morning Star was only rediscovered after the most recent Jump Gate realignment, with archaeologists still uncovering many of the homes and factories laid to waste by the Terraformers during that conflict.\n\nThough the Argon Federation has begun the process of resettling the system, work has been slow, as there have always been higher priorities for investment among the more strongly contested border sectors. Naturally, this did not prevent independent Argon entrepreneurs from establishing their own businesses in the vacant space of Morning Star, and today the system is bustling with civilian traffic.",
cluster_31_macro,-120000000.0,0.0,103920000.0,Heretic's End,"Originally discovered and claimed by the Paranid, Heretic's End became one of the most famous systems in the Jump Gate network after the building and activation of the Earth Gate and the massive battle between the Kha'ak and combined Terran and Commonwealth forces. While Sol remained connected to the Jump Gate network, Heretic's End remained under heavy Terran protection, but when it became obvious that Jump Gates were failing too quickly for the connection to possibly remain stable, the system was swiftly abandoned, fading back into obscurity. Now, it serves as a backwater colony that holds only interest to pirates and smugglers.",
cluster_32_macro,-60000000.0,0.0,103920000.0,Tharka's Cascade,"Tharka's Cascade represents the last evidence available to the Jump Gate network that the Split Patriarchy survived the Jump Gate shutdown. Relatively unexplored due to both natural dangers and the unhindered spread of Xenon fleets throughout the system, its name is only known because of a brief Argon Federation scouting mission that uncovered the passages of a member of Family Tharka as she attempted to flee the area in the face of an as of yet unknown danger referred to in the files as 'the Fade'.",
cluster_33_macro,-75000000.0,0.0,112580000.0,Matrix #79B,"Matrix #79B has been the cause of much bewilderment among the post-realignment Community, and to Alliance of the Word scholars especially. As far as the cartographers can tell, it was never encountered before the Gates reconnected. It does not appear in any official documentation or corporate travel logs. Yet, when the network stabilised and the Argon Federation sent out scouts to survey the adjacent systems for activity, not only did they find a heavy Xenon presence, but also the remnants of vast structures stretching throughout the system. Surprisingly, these networks do not seem to be of Xenon origin, and raise the question of what exactly happened in this system.",
cluster_34_macro,45000000.0,0.0,77940000.0,Profit Center Alpha,"Situated between two uninhabitable dust planets, this Teladi system once produced raw materials and light weapons for military and exploration ships. It was earmarked by the Profit Guild before the Jump Gate shutdown for priority expansion and investment.\n\nAs chance would have it, after the realignment, Profit Center Alpha became ideally situated for such investment, finding itself placed on The Ring after the Jump Gate fluctuation stabilised. The Teladi Company were only too happy to allow such a highway construction to be built through the system in order to allow quicker and more efficient profit.",
cluster_35_macro,-45000000.0,0.0,-95260000.0,Lasting Vengeance,"Once situated on the uncharted outskirts of the New Duchy sectors, Lasting Vengeance became known as a safe haven for smugglers, marauders and other entrepreneurial types who wished to do business in Paranid and Split territory. Behind the various pirate leaders was a guiding hand, the self-proclaimed Pirate Duke who, faced with the sudden collapse of all outside communication, harnessed the indomitable spirit of his followers and led them towards colonisation. As the years passed by after the shutdown, the once-warlike Buccaneers became content with their new purpose, while Lasting Vengeance similarly flourished in an era of relative peace and prosperity. Few remember when the dreaded armaments of Duke's Haven and its fleet fell silent for the last time.\n\nWhat happened to the pirate operation in the years that followed remains unknown. It is said that when the Holy Order prospectors traversed the sector's Gate on the day of its realignment, desperate for new resources for their starving empire, all they encountered was a sea of ruin.",
cluster_36_macro,-60000000.0,0.0,-86600000.0,Cardinal's Redress,"When the Gates shut down, the Cardinal of the Second Duchy of the Paranid found himself marooned in a lesser known system of the Paranid Empire, which he had been invited to in order to give spiritual guidance to the colonists. In the wake of the cataclysmic shutdown, the local isolated Paranid population turned towards the Cardinal as their new leader, and Cardinal's Redress was established as the interim capital of the Second Duchy. He led them well, and the resident Paranid would see the system be reconnected to the greater Paranid realm.\n\nHowever, tensions arose when they were confronted by the fervent Holy Order, who would not tolerate another religious authority that did not follow their Pontifex's teachings. The Cardinal did something almost unthinkable when he converted and stepped down from his leadership duties. In doing so, he avoided otherwise-certain conflict and saved countless lives. This decision did not go down well with the Godrealm, who, upon learning of his betrayal, put a considerable bounty on his head.",
cluster_37_macro,45000000.0,0.0,-60620000.0,Pious Mists,"While Paranid society has historically met others with distrust, generally preferring to keep to themselves, the ramifications of the Gate shutdown have forced them into closer contact with the other races, and facilitated unrest amongst the different Paranid denominations. As part of the highway network, this system is at the forefront of both of these developments. Due to its proximity to Holy Order space, it is often considered to be the major staging ground of the Paranid conflict.\n\nWhile Pious Mists  was disconnected from the other Paranid systems, an ambitious Duke tried to crown himself Pontifex in a bid for regional power. However, his subjects quickly and violently overthrew him and held out hope for a swift reconnection. When that connection was once again established, they were welcomed back into the greater Godrealm of the Paranid with open arms.",
cluster_38_macro,30000000.0,0.0,-69280000.0,Pious Mists,"While Paranid society has historically met others with distrust, generally preferring to keep to themselves, the ramifications of the Gate shutdown have forced them into closer contact with the other races, and facilitated unrest amongst the different Paranid denominations. As part of the highway network, this system is at the forefront of both of these developments. Due to its proximity to Holy Order space, it is often considered to be the major staging ground of the Paranid conflict.\n\nWhile Pious Mists  was disconnected from the other Paranid systems, an ambitious Duke tried to crown himself Pontifex in a bid for regional power. However, his subjects quickly and violently overthrew him and held out hope for a swift reconnection. When that connection was once again established, they were welcomed back into the greater Godrealm of the Paranid with open arms.",
cluster_39_macro,30000000.0,0.0,0.0,Memory of Profit,"Savaged by the same incursion that saw Scale Plate Green occupied by the Xenon, Memory of Profit was once an economic stronghold of the Teladi Company, even housing the headquarters of Nividium Mining and Manufacturing Corporation (PTNI). Though Teladi and Argon forces, and even a small contingent of Split ships, desperately tried to hold both systems, PTNI Headquarters was eventually lost.\n\nWhen the Jump Gates came back on line, Teladi Scouts from Eighteen Billion quickly recognised the signs of the conflict, and when they found no trace of Xenon activity within the system, immediately set about on a recolonization effort.",
cluster_40_macro,-90000000.0,0.0,-17320000.0,Second Contact,"Within hours of the Jump Gates in Second Contact opening, fleets from both the Antigone Republic and the Holy Order of the Pontifex had arrived in system. Ownership of the system remained disputed for many years, with skirmishes from both factions commonplace.\n\nWith the start of the Paranid Civil War though, the Paranid could no longer afford to keep up their offensive and the Antigone Republic claimed the system as its own colony. Since, it has become a profitable trading hub, linking the Antigone Republic to the Argon Federation, and acts as a buffer to the Holy Order.",
cluster_41_macro,-90000000.0,0.0,0.0,Second Contact,"Within hours of the Jump Gates in Second Contact opening, fleets from both the Antigone Republic and the Holy Order of the Pontifex had arrived in system. Ownership of the system remained disputed for many years, with skirmishes from both factions commonplace.\n\nWith the start of the Paranid Civil War though, the Paranid could no longer afford to keep up their offensive and the Antigone Republic claimed the system as its own colony. Since, it has become a profitable trading hub, linking the Antigone Republic to the Argon Federation, and acts as a buffer to the Holy Order.",
cluster_42_macro,120000000.0,0.0,0.0,Hewa's Twin,"Hewa's Twin may be the most widely, if not most thoroughly, explored system in Teladi territory, but has been somewhat crippled economically by its Jump Gate connection to Trinity Sanctum, separating it and Company Regard from the rest of Teladi space.\n\nThe Paranids' differing views on what is legal and illegal sometimes makes it difficult for the Teladi Company to ferry supplies to citizens on both sides of the blockade. This however represents an interesting opportunity for smugglers, which the Scale Plate Pact pirates, who hide their headquarters somewhere in this system, have all too happily jumped on.",
cluster_43_macro,120000000.0,0.0,17320000.0,Hewa's Twin,"Hewa's Twin may be the most widely, if not most thoroughly, explored system in Teladi territory, but has been somewhat crippled economically by its Jump Gate connection to Trinity Sanctum, separating it and Company Regard from the rest of Teladi space.\n\nThe Paranids' differing views on what is legal and illegal sometimes makes it difficult for the Teladi Company to ferry supplies to citizens on both sides of the blockade. This however represents an interesting opportunity for smugglers, which the Scale Plate Pact pirates, who hide their headquarters somewhere in this system, have all too happily jumped on.",
cluster_44_macro,0.0,0.0,103920000.0,Silent Witness,"Silent Witness has established itself as vitally important to galactic trade, as its ring highway is the main connection between Argon and Teladi space. Many traders frequently use the highway to ferry their wares between factions in the hopes of turning an honest profit.\n\nHowever, not everyone shares their equitable and entrepreneurial spirit. Pilots are frequently harassed by pirates, and it is not uncommon for trade ships to vanish completely. Despite calls for improved security, only parts of the system have been claimed and are actively patrolled; it is simply too big a task to weed out the criminal elements inhabiting the further reaches of the system. Ultimately, though, the risk posed by outlaws does not outweigh the convenience of travel, and potential losses are counted as an acceptable cost of doing business.",
cluster_45_macro,-15000000.0,0.0,112580000.0,Silent Witness,"Silent Witness has established itself as vitally important to galactic trade, as its ring highway is the main connection between Argon and Teladi space. Many traders frequently use the highway to ferry their wares between factions in the hopes of turning an honest profit.\n\nHowever, not everyone shares their equitable and entrepreneurial spirit. Pilots are frequently harassed by pirates, and it is not uncommon for trade ships to vanish completely. Despite calls for improved security, only parts of the system have been claimed and are actively patrolled; it is simply too big a task to weed out the criminal elements inhabiting the further reaches of the system. Ultimately, though, the risk posed by outlaws does not outweigh the convenience of travel, and potential losses are counted as an acceptable cost of doing business.",
cluster_46_macro,-90000000.0,0.0,86600000.0,Morning Star,"One of the dozen Argon outposts destroyed during the First Xenon Conflict, Morning Star was only rediscovered after the most recent Jump Gate realignment, with archaeologists still uncovering many of the homes and factories laid to waste by the Terraformers during that conflict.\n\nThough the Argon Federation has begun the process of resettling the system, work has been slow, as there have always been higher priorities for investment among the more strongly contested border sectors. Naturally, this did not prevent independent Argon entrepreneurs from establishing their own businesses in the vacant space of Morning Star, and today the system is bustling with civilian traffic.",
cluster_47_macro,60000000.0,0.0,34640000.0,Trinity Sanctum,"Made famous before the Jump Gate shutdown by its nomadic workforce, whose expertise in raising delicate Maja snails was known across the entire network, Trinity Sanctum has been repurposed as the temporary capital of the Godrealm of the Paranid. The Snail Farms that were once so active here have long been shut down.\n\nDesperate to keep some sense of order among its people, the Pontifex Maximus Paranidia placed a heavily defended house of worship on one of the many moons of Trinity Sanctum, and so the system has also become a place of pilgrimage for many members of the Godrealm.",
cluster_48_macro,-150000000.0,0.0,51960000.0,Getsu Fune,"Before the shutdown of the Jump Gates, Getsu Fune was widely regarded as the crown jewel of the Community of Planets' newfound cooperation. This naively romantic assessment disregards the history of unease that followed the system's discovery by a legendary adventurer. Her sudden fame bestowed upon the system an unexpected and unprecedented surge in intergalactic attention. The prospect of inadvertently falling behind eventually pressured all major factions to ignore the threats lurking in this remote area of the network and construct large stations to stake their own claims. The fortunate beneficiaries of this peculiar arrangement were the many explorers that followed the spirit of the system's original discovery, and who now had a straightforward way to outfit their ships with state-of-the-art equipment and software from all major factions. During a period of interim administration, in which the Argon company TerraCorp set out to improve the system's infrastructure with new accelerator technology, Getsu Fune was hit by the repercussions of the collapsing Gate network, and all contact was subsequently lost.\n\nAfter the Jump Gate realignment, the system was once again found to be barren and initially provided a bleak outlook on the current chances of peaceful coexistence. However, recent analysis of the many drifting station wrecks has produced matching signs of a meticulous deconstruction of the key structures, which might well point towards a joint effort between the system's many diverse inhabitants. The purpose of this undertaking, which likely took place shortly after the shutdown, and the whereabouts of the settlers, are yet to be determined.",
cluster_49_macro,-120000000.0,0.0,-17320000.0,Frontier Edge,"Frontier Edge was newly discovered after the Gates reactivated. Several factions have shown an interest in the system, most notably because it is home to an uninhabited planet. While this planet has not yet received a full resource survey, it seems to be fertile ground for colonisation. The system is being mapped out at rather a slow pace, in part because traversing it can be tedious at times due to its high asteroid density, but also because scout ships disappear with alarming regularity.",
cluster_50_macro,150000000.0,0.0,-34640000.0,Turquoise Sea,"Long before the connection of Turquoise Sea to the known Jump Gate network, it was determined that the area of space in which the system was ultimately found to reside was dominated by a rather picturesque, but otherwise unremarkable, emission nebula. Regardless of the scientific validity of this explanation, a great number of unverified rumours and adventurers' tales have since succeeded in shrouding the origin of the system's striking colour in mystery. Despite the evident dangers lurking in the surrounding systems, this apparently constructed image of mystery regularly draws in waves of daring explorers in search of a supposedly hidden truth; a phenomenon that has been derogatively titled by prominent news outlets as the ""Turquoise Rush"". Recently, a Teladi-led syndicate has ferried in construction equipment to connect to the farther reaches of the isolated system for as yet unknown purposes.",
cluster_709_macro,60000000.0,0.0,-103920000.0,Cardinal's Domain,"Cardinal's Domain was a historical seat of power for the Second Duchy. Given its historical significance, the Priest King presiding over this sector still maintains the title ""Cardinal"" despite it having fallen out of use elsewhere in the Godrealm. Due to its link to the Second Duchy, both the Godrealm of the Paranid, and the Holy Order of the Pontifex have laid claim to Cardinal's Domain.\n\nGiven its proximity to the pirate sector Moo-Kye's Revenge, it may be wondered how the Paranid can live with this threat on their doorstep. It turns out that the Cardinal has established an uneasy truce with the pirates, limiting their engagements to only minor skirmishes. While this might seem out of character for the Paranid, it may be explained by a leaked internal communication which refers to ""the pirate problem"" as a ""mindless defensive barrier"" against other enemies.",
cluster_710_macro,105000000.0,0.0,-95260000.0,Moo-Kye's Revenge,"At one point, a brave pilot placed a beacon near the gate to Moo-Kye's Revenge warning passing pilots to stay well clear for fear of pirates. Before the pilot had even got home, it had been destroyed, and replaced with a similar broadcast, advertising the illicit activities and wares available within the sector. Needless to say, only a handful of those that give into this temptation make it back out to tell the tale.",
cluster_711_macro,120000000.0,0.0,-69280000.0,Mi Ton's Refuge,"The eradication of pirates from Mi Ton's Refuge has been proposed at least four times now, due to the terror that they inflict on local shipping, but every time the idea has been shot down, occasionally literally. Whether this speaks of corruption or fear, nobody is willing to say. Despite originally being a peaceful Boron sector, this has now become one of the most infamous and feared places in the known universe.",
